2026-02-19 00:43:34 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %76.5 | Pil: %79
2026-02-19 00:43:36 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:43:43 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %76.2 | Pil: %79
2026-02-19 00:43:45 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %8.4 | Pil: %79
2026-02-19 00:43:49 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %94.4 | Pil: %79
2026-02-19 00:43:52 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %81.0 | Pil: %79
2026-02-19 00:43:54 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %6.2 | Pil: %79
2026-02-19 00:43:56 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %87.5 | Pil: %79
2026-02-19 00:43:58 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %11.8 | Pil: %79
2026-02-19 00:44:13 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %77.8 | Pil: %79
2026-02-19 00:44:15 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %17.6 | Pil: %79
2026-02-19 00:44:21 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %74.1 | Pil: %79
2026-02-19 00:44:23 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:44:25 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %100.0 | Pil: %79
2026-02-19 00:44:27 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
2026-02-19 00:44:35 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %75.0 | Pil: %79
2026-02-19 00:44:37 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %6.7 | Pil: %79
2026-02-19 00:44:50 - INFO - DURUM DEÐÝÞTÝ: IDLE -> BUSY | CPU: %88.9 | Pil: %79
2026-02-19 00:44:52 - INFO - DURUM DEÐÝÞTÝ: BUSY -> IDLE | CPU: %0.0 | Pil: %79
